E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.04,0.0,0.0,-0.1795774736029828,0.0009256511168110058,-0.0,-0.0,0.0009256511168110058,0.04,0.0,0.0,-0.22093034575897977,0.001262124257452132,-0.0,0.0,0.001262124257452132,0.5,0,0,0.13227498984520672,-0.00021892266615198262,0.0,0.0,-0.00021892266615198262,0.002,8e-05,0.0,-4.541829525355108,-0.0014738243946911431,-0.0003633463620284087,0.0,-0.0018371707567195518,0.031553106436303296,0.0,-0.031553106436303296,0.023141277920275146,0.0,-0.023141277920275146,-0.7369121973455716,0.0,0.7369121973455716,-0.00043784533230396524,0,0.00043784533230396524,0.0009256607617389747,-0.0012621171837350837,0.00021892266615198262,0.4,0.03369307518005371,5.624272108078003,STABILIZE
0.04,0.0,0.0,-0.17882891731358203,0.00089448725831264,-0.0,-0.0,0.00089448725831264,0.04,0.0,0.0,-0.2197505740163718,0.001409768118206447,-0.0,0.0,0.001409768118206447,0.5,0,0,0.13226403374474033,-0.00016364988857137499,0.0,0.0,-0.00016364988857137499,0.002,8e-05,0.0,-4.5661853810472,-0.0014552013582917961,-0.00036529483048377604,0.0,-0.0018204961887755722,0.035244202955161175,0.0,-0.035244202955161175,0.022362181457816,0.0,-0.022362181457816,-0.7276006791458981,0.0,0.7276006791458981,-0.00032729977714274997,0,0.00032729977714274997,0.0008944953115402707,-0.0014097630084618778,0.00016364988857137499,0.4,0.03347420692443848,5.657750368118286,STABILIZE
0.04,0.0,0.0,-0.17809032982881176,0.000819924817003174,-0.0,-0.0,0.000819924817003174,0.04,0.0,0.0,-0.21848392766006075,0.0014061364473690297,-0.0,-0.0,0.0014061364473690297,0.5,0,0,0.13223842314149897,-0.0003553873036202344,0.0,-0.0,-0.0003553873036202344,0.002,8e-05,0.0,-4.592192136796938,-0.001443538164986876,-0.00036737537094375507,0.0,-0.001810913535930631,0.03515341118422574,0.0,-0.03515341118422574,0.02049812042507935,0.0,-0.02049812042507935,-0.721769082493438,0.0,0.721769082493438,-0.0007107746072404688,0,0.0007107746072404688,0.0008199422605648947,-0.001406126275800653,0.0003553873036202344,0.4,0.03603196144104004,5.693794250488281,STABILIZE
0.04,0.0,0.0,-0.17745578996809264,0.0007569817117996828,-0.0,-0.0,0.0007569817117996828,0.04,0.0,0.0,-0.217281861633751,0.0014340186560714257,-0.0,0.0,0.0014340186560714257,0.5,0,0,0.13220741263220606,-0.00046242934962600804,0.0,-0.0,-0.00046242934962600804,0.002,8e-05,0.0,-4.616547335590473,-0.0014527408926727986,-0.0003693237868472379,-0.0,-0.0018220646795200366,0.035850466401785644,0.0,-0.035850466401785644,0.018924542794992068,0.0,-0.018924542794992068,-0.7263704463363994,0.0,0.7263704463363994,-0.0009248586992520161,0,0.0009248586992520161,0.0007570048593855908,-0.001434006436814939,0.00046242934962600804,0.4,0.03352999687194824,5.727321624755859,STABILIZE
0.04,0.0,0.0,-0.17682055486527443,0.000759382412555111,-0.0,0.0,0.000759382412555111,0.04,0.0,0.0,-0.21616451551758706,0.0013357148960870028,-0.0,-0.0,0.0013357148960870028,0.5,0,0,0.132153342232773,-0.0008079707455383492,0.0,-0.0,-0.0008079707455383492,0.002,8e-05,0.0,-4.6409022237518425,-0.0014557345498886257,-0.00037127217790014743,-0.0,-0.0018270067277887732,0.03339287240217507,0.0,-0.03339287240217507,0.018984560313877775,0.0,-0.018984560313877775,-0.7278672749443128,0.0,0.7278672749443128,-0.0016159414910766985,0,0.0016159414910766985,0.0007594200840875412,-0.0013356934783142443,0.0008079707455383492,0.4,0.03346061706542969,5.760794401168823,STABILIZE
0.04,0.0,0.0,-0.17614120234854894,0.0008122839813882364,-0.0,0.0,0.0008122839813882364,0.04,0.0,0.0,-0.21512117345349965,0.0012474967338778232,-0.0,-0.0,0.0012474967338778232,0.5,0,0,0.1320286270228278,-0.0018639838077410872,0.0,-0.0,-0.0018639838077410872,0.002,8e-05,0.0,-4.6656536538345055,-0.0014797317797177133,-0.00037325229230676047,-0.0,-0.0018529840720244739,0.031187418346945578,0.0,-0.031187418346945578,0.02030709953470591,0.0,-0.02030709953470591,-0.7398658898588566,0.0,0.7398658898588566,-0.0037279676154821743,0,0.0037279676154821743,0.0008123651484296171,-0.0012474438797287384,0.0018639838077410872,0.4,0.033453941345214844,5.794530868530273,STABILIZE
0.04,0.0,0.0,-0.1753458340570433,0.0008786505317798762,-0.0,0.0,0.0008786505317798762,0.04,0.0,0.0,-0.21396532373913693,0.0012768776138408944,-0.0,0.0,0.0012768776138408944,0.5,0,0,0.13190118255192113,-0.001759863218877412,0.0,0.0,-0.001759863218877412,0.002,8e-05,0.0,-4.6920207608062094,-0.001456399054979183,-0.0003753616608644968,0.0,-0.0018317607158436799,0.03192194034602236,0.0,-0.03192194034602236,0.021966263294496906,0.0,-0.021966263294496906,-0.7281995274895915,0.0,0.7281995274895915,-0.003519726437754824,0,0.003519726437754824,0.0008787289697545372,-0.0012768236352132603,0.001759863218877412,0.4,0.0362086296081543,5.8304548263549805,STABILIZE
0.04,0.0,0.0,-0.17457657565815604,0.0009206087679539035,-0.0,0.0,0.0009206087679539035,0.04,0.0,0.0,-0.21316881637066523,0.0009532189290563677,-0.0,-0.0,0.0009532189290563677,0.5,0,0,0.13182034806672502,-0.0012092317732932643,0.0,0.0,-0.0012092317732932643,0.002,8e-05,0.0,-4.716276998177997,-0.0014514306788420952,-0.0003773021598542398,0.0,-0.001828732838696335,0.02383047322640919,0.0,-0.02383047322640919,0.023015219198847588,0.0,-0.023015219198847588,-0.7257153394210476,0.0,0.7257153394210476,-0.0024184635465865287,0,0.0024184635465865287,0.0009206490026493936,-0.0009531800691714287,0.0012092317732932643,0.4,0.03342390060424805,5.863883018493652,STABILIZE
0.04,0.0,0.0,-0.17378558691000964,0.0009438541309546057,-0.0,0.0,0.0009438541309546057,0.04,0.0,0.0,-0.21241785320554052,0.0008960932595548423,-0.0,-0.0,0.0008960932595548423,0.5,0,0,0.13172484361846448,-0.0014245188099464758,0.0,-0.0,-0.0014245188099464758,0.002,8e-05,0.0,-4.740477872241766,-0.0014438950624347893,-0.00037923822977934134,0.0,-0.0018231332922141307,0.022402331488871056,0.0,-0.022402331488871056,0.023596353273865143,0.0,-0.023596353273865143,-0.7219475312173946,0.0,0.7219475312173946,-0.0028490376198929517,0,0.0028490376198929517,0.0009438986881029817,-0.00089604632521827,0.0014245188099464758,0.4,0.03352165222167969,5.897458791732788,STABILIZE
0.04,0.0,0.0,-0.17298877484967395,0.0009539442151364078,-0.0,0.0,0.0009539442151364078,0.04,0.0,0.0,-0.2117969678981736,0.0007433245262080151,-0.0,-0.0,0.0007433245262080151,0.5,0,0,0.1315238835411626,-0.0030073701308989207,0.0,-0.0,-0.0030073701308989207,0.002,8e-05,0.0,-4.764340616095836,-0.0014284250697260592,-0.0003811472492876669,0.0,-0.0018095723190137262,0.018583113155200375,0.0,-0.018583113155200375,0.023848605378410194,0.0,-0.023848605378410194,-0.7142125348630296,0.0,0.7142125348630296,-0.006014740261797841,0,0.006014740261797841,0.0009540222418745099,-0.0007432243798903001,0.0030073701308989207,0.4,0.033411264419555664,5.930828094482422,STABILIZE
0.04,0.0,0.0,-0.17212162768727554,0.0010310422349166972,-0.0,0.0,0.0010310422349166972,0.04,0.0,0.0,-0.2111148485235128,0.0008110432865685907,-0.0,0.0,0.0008110432865685907,0.5,0,0,0.13134027168288284,-0.0027289425158578753,0.0,0.0,-0.0027289425158578753,0.002,8e-05,0.0,-4.788232728052556,-0.001420391922900503,-0.0003830586182442045,0.0,-0.0018034505411447074,0.020276082164214768,0.0,-0.020276082164214768,0.025776055872917432,0.0,-0.025776055872917432,-0.7101959614502514,0.0,0.7101959614502514,-0.005457885031715751,0,0.005457885031715751,0.0010311194886519885,-0.0008109450678017966,0.0027289425158578753,0.4,0.03364157676696777,5.964489459991455,STABILIZE
0.04,0.0,0.0,-0.1711881872913214,0.0011043864478218338,-0.0,0.0,0.0011043864478218338,0.04,0.0,0.0,-0.21039424499683387,0.0008525715970363418,-0.0,0.0,0.0008525715970363418,0.5,0,0,0.13117399328161108,-0.0024591234443830175,0.0,0.0,-0.0024591234443830175,0.002,8e-05,0.0,-4.8122252895018685,-0.0014193225313582588,-0.0003849780231601495,0.0,-0.0018043005545184082,0.021314289925908544,0.0,-0.021314289925908544,0.027609661195545844,0.0,-0.027609661195545844,-0.7096612656791293,0.0,0.7096612656791293,-0.004918246888766035,0,0.004918246888766035,0.0011044596281591977,-0.0008524767938026661,0.0024591234443830175,0.4,0.03380846977233887,5.998303413391113,STABILIZE
0.04,0.0,0.0,-0.17024573769803272,0.001126958632378014,-0.0,0.0,0.001126958632378014,0.04,0.0,0.0,-0.20957318407995573,0.0009818049629107368,-0.0,0.0,0.0009818049629107368,0.5,0,0,0.13093092126482206,-0.0036332461380511787,0.0,-0.0,-0.0036332461380511787,0.002,8e-05,0.0,-4.835670220310735,-0.00140174431336747,-0.00038685361762485885,0.0,-0.0017885979309923286,0.024545124072768418,0.0,-0.024545124072768418,0.02817396580945035,0.0,-0.02817396580945035,-0.7008721566837349,0.0,0.7008721566837349,-0.007266492276102357,0,0.007266492276102357,0.0011270831399584516,-0.000981662029371043,0.0036332461380511787,0.4,0.033451080322265625,6.0317418575286865,STABILIZE
0.04,0.0,0.0,-0.16931205710829836,0.0011166002030808689,-0.0,-0.0,0.0011166002030808689,0.04,0.0,0.0,-0.20877400295769333,0.0009557506209596498,-0.0,-0.0,0.0009557506209596498,0.5,0,0,0.13070711435093826,-0.003345668318496315,0.0,0.0,-0.003345668318496315,0.002,8e-05,0.0,-4.859020786461123,-0.0013962615905399678,-0.00038872166291688986,0.0,-0.0017849832534568577,0.023893765523991244,0.0,-0.023893765523991244,0.027915005077021722,0.0,-0.027915005077021722,-0.6981307952699839,0.0,0.6981307952699839,-0.00669133663699263,0,0.00669133663699263,0.0011167118136200763,-0.000955620211332072,0.003345668318496315,0.4,0.033447265625,6.065209627151489,STABILIZE
0.04,0.0,0.0,-0.16838757306378857,0.0010522784387263263,-0.0,-0.0,0.0010522784387263263,0.04,0.0,0.0,-0.207963876463017,0.0009221128780441446,-0.0,-0.0,0.0009221128780441446,0.5,0,0,0.1304188108721329,-0.0041019574155759225,0.0,-0.0,-0.0041019574155759225,0.002,8e-05,0.0,-4.883500562321332,-0.0013931846890992384,-0.00039068004498570664,0.0,-0.001783864734084945,0.023052821951103614,0.0,-0.023052821951103614,0.02630696096815816,0.0,-0.02630696096815816,-0.6965923445496192,0.0,0.6965923445496192,-0.008203914831151845,0,0.008203914831151845,0.0010524104609714077,-0.0009219621977614481,0.0041019574155759225,0.4,0.03514218330383301,6.100343942642212,STABILIZE
0.04,0.0,0.0,-0.16743239919014968,0.001133040505928251,-0.0,0.0,0.001133040505928251,0.04,0.0,0.0,-0.2071500394269105,0.0009653847876097903,-0.0,0.0,0.0009653847876097903,0.5,0,0,0.13026443184077716,-0.0022890818705817184,0.0,0.0,-0.0022890818705817184,0.002,8e-05,0.0,-4.9067974488504715,-0.0013817545071122847,-0.00039254379590803774,0.0,-0.0017742983030203225,0.024134619690244757,0.0,-0.024134619690244757,0.028326012648206274,0.0,-0.028326012648206274,-0.6908772535561424,0.0,0.6908772535561424,-0.004578163741163437,0,0.004578163741163437,0.0011331176404471086,-0.0009652942500243769,0.0022890818705817184,0.4,0.03372073173522949,6.134058713912964,STABILIZE
0.04,0.0,0.0,-0.1664109813921127,0.001220525702720818,-0.0,0.0,0.001220525702720818,0.04,0.0,0.0,-0.20630215623030015,0.0010131635030805543,-0.0,0.0,0.0010131635030805543,0.5,0,0,0.13023013876814313,-0.0005122239970699683,0.0,0.0,-0.0005122239970699683,0.002,8e-05,0.0,-4.929861539526122,-0.0013780020053310226,-0.0003943889231620898,0.0,-0.0017723909284931125,0.025329087577013857,0.0,-0.025329087577013857,0.03051314256802045,0.0,-0.03051314256802045,-0.6890010026655113,0.0,0.6890010026655113,-0.0010244479941399365,0,0.0010244479941399365,0.001220543817879543,-0.0010131416799306185,0.0005122239970699683,0.4,0.03347468376159668,6.167539119720459,STABILIZE
