Mode,Time,Yaw_SP,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,errorNorth,errorEast,errorDown,self.pitchAngle,self.rollAngle,self.thrust
STABILIZE,5.7217400074,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,5.82487487793,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,5.93191695213,2.91528344154,-0.0371943563223,0.0232620853931,2.9428589344,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.185270537589,0.5475
STABILIZE,6.03804183006,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,6.14223384857,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,6.24573993683,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.165208460438,0.5475
STABILIZE,6.348706007,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.184645851543,0.5475
STABILIZE,6.45229792595,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.17,1.28,0.02,0.77,0.88,-0.38,-0.162505628755,0.176,0.5475
STABILIZE,6.55559587479,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.19,0.02,0.76,0.79,-0.38,-0.143630926348,0.0826783371302,0.5475
STABILIZE,6.65970396996,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.18,0.02,0.76,0.78,-0.38,-0.152,0.147762800273,0.5475
STABILIZE,6.76408982277,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.246975866608,0.5475
STABILIZE,6.86745500565,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,6.97250103951,2.91528344154,-0.0374901145697,0.0230762809515,2.94278860092,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,7.07574701309,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.183744670223,0.5475
STABILIZE,7.18141198158,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.166368331417,0.5475
STABILIZE,7.28765892982,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,7.39235281944,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.183409748402,0.5475
STABILIZE,7.49767589569,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.166695190607,0.5475
STABILIZE,7.60143089294,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.174,0.5475
STABILIZE,7.70577692986,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.101168879893,0.5475
STABILIZE,7.81136894226,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.19,0.02,0.76,0.79,-0.38,-0.152,0.158,0.5475
STABILIZE,7.91669392586,2.91528344154,-0.0374667868018,0.022944431752,2.94267678261,1.16,1.18,0.02,0.76,0.78,-0.38,-0.152,0.149087031028,0.5475
STABILIZE,8.02183794975,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.235388936919,0.5475
STABILIZE,8.12653493881,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.182731588378,0.5475
STABILIZE,8.23061203957,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.17,1.27,0.02,0.77,0.87,-0.38,-0.160644868304,0.167355131696,0.5475
STABILIZE,8.33477187157,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.27,0.02,0.76,0.87,-0.38,-0.145439152504,0.174,0.5475
STABILIZE,8.43879985809,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.17,1.28,0.02,0.77,0.88,-0.38,-0.160478855825,0.182478855825,0.5475
STABILIZE,8.54344797134,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.27,0.02,0.76,0.87,-0.38,-0.14560101239,0.16760101239,0.5475
STABILIZE,8.64961886406,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.182320604345,0.5475
STABILIZE,8.7533159256,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,8.856746912,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,8.96350288391,2.91528344154,-0.0375498384237,0.0229988954961,2.94283056259,1.16,1.27,0.02,0.76,0.87,-0.38,-0.152,0.16790297524,0.5475
STABILIZE,9.07008695602,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.17,1.27,0.02,0.77,0.87,-0.38,-0.160024402279,0.174,0.5475
STABILIZE,9.17387294769,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.17,1.28,0.02,0.77,0.88,-0.38,-0.154,0.181953609499,0.5475
STABILIZE,9.27749586105,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.146113738848,0.176,0.5475
STABILIZE,9.38367891312,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,9.48717188835,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
STABILIZE,9.59067988396,2.91528344154,-0.0374337509274,0.0228868052363,2.94288134575,1.16,1.28,0.02,0.76,0.88,-0.38,-0.152,0.176,0.5475
