Mode,Time,Roll,Pitch,Yaw,northCurrentPos,eastCurrentPos,downCurrentPos,yawCurrentAngle,rollControl,pitchControl,yawControl,thrustControl
STABILIZE,1574805117.45154,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.474838,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.4949522,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.5150383,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.5351326,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.5552251,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.57528,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.5953798,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.615465,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.6355417,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.6618414,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.6819103,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.703122,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.723201,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.7432609,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.7633822,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.7834516,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.8035755,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.8249822,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.8508914,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.8709671,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.891071,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.9111636,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.9312396,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.954475,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.9757848,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805117.995861,-0.028457969427108765,0.010134458541870117,2.5597641468048096,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.026856,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.0469282,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.0670013,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.0918949,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.113007,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.1330552,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.1530993,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.1736343,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.2011182,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.2256868,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.246303,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.273364,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.293463,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.3135304,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.333648,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.3537686,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.3738377,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.3939066,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.4139574,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.4340444,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.4541361,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.4742255,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.494634,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.5148404,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.5349195,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.5549965,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.5750873,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.5958004,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.6158707,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
STABILIZE,1574805118.635927,-0.02843664214015007,0.010126356966793537,2.5589888095855713,0,0,0,0,-0.12,0.12,-0.0,0.5833333333333334
